week_,type_,show_title,season_title,weekly_hours_viewed,rating_,category_,prod_country_
2022-04-24,Films (English),Choose or Die,N/A,15260000,TV-MA,Thrillers,United States
2022-04-24,Films (English),The In Between,N/A,13350000,PG-13,"Drama, Romance",United States
2022-04-24,Films (English),White Hot: The Rise & Fall of Abercrombie & Fitch,N/A,9920000,R,Documentaries,United States
2022-04-24,Films (English),How It Ends,N/A,8280000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-04-24,Films (English),Yakuza Princess,N/A,7490000,R,"Sci-Fi & Fantasy, Action & Adventure",Japan
2022-04-24,Films (English),The Adam Project,N/A,7480000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-04-24,Films (English),Playing with Fire,N/A,6750000,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",United States
2022-04-24,Films (English),The Vault,N/A,6620000,R,"Action & Adventure, International Movies, Thrillers",United States
2022-04-24,Films (English),Shrek,N/A,5310000,PG,"Comedies, Action & Adventure",United States
2022-04-24,Films (English),Cleaner,N/A,4920000,TV-MA,Action & Adventure,United States
2022-04-24,Films (Non-English),The Taming of the Shrewd,N/A,9330000,TV-MA,Romantic Comedies,Poland
2022-04-24,Films (Non-English),Furioza,N/A,6150000,TV-MA,Crime Movies,Poland
2022-04-24,Films (Non-English),Yaksha: Ruthless Operations,N/A,5080000,TV-MA,Action & Adventure,South Korea
2022-04-24,Films (Non-English),The Turning Point,N/A,2810000,TV-MA,Crime Movies,Italy
2022-04-24,Films (Non-English),One Piece Film Z,N/A,2220000,PG-13,"Action & Adventure, Animes",Japan
2022-04-24,Films (Non-English),Through My Window,N/A,2200000,PG-13,Romantic Movies,Spain
2022-04-24,Films (Non-English),All Hail,N/A,1920000,TV-MA,"Comedies, Dramas",Argentina
2022-04-24,Films (Non-English),Black Crab,N/A,1830000,TV-MA,Action & Adventure,Sweden
2022-04-24,Films (Non-English),In Good Hands,N/A,1700000,TV-MA,Romantic Movies,Turkey
2022-04-24,Films (Non-English),Dasvi,N/A,1620000,TV-MA,Drama,India
2022-04-24,TV (English),Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,75560000,TV-MA,"TV Mysteries, Drama",United Kingdom
2022-04-24,TV (English),Bridgerton,Bridgerton: Season 2,46130000,TV-MA,"Romantic TV Shows, TV Dramas",United States
2022-04-24,TV (English),Conversations with a Killer: The John Wayne Gacy Tapes,Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,37460000,TV-MA,Docuseries,United States
2022-04-24,TV (English),The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,29010000,TV-PG,"Reality TV, Romance",United States
2022-04-24,TV (English),Selling Sunset,Selling Sunset: Season 5,28360000,TV-MA,Reality TV,United States
2022-04-24,TV (English),Heartstopper,Heartstopper: Season 1,14550000,PG-13,"Romantic TV Shows, TV Dramas",United Kingdom
2022-04-24,TV (English),The Creature Cases,The Creature Cases: Season 1,13560000,TV-Y,TV Cartoons,United States
2022-04-24,TV (English),Married at First Sight,Married at First Sight: Season 10,12810000,TV-14,"Reality TV, Romantic TV Shows",United States
2022-04-24,TV (English),Our Great National Parks,Our Great National Parks: Limited Series,11780000,TV-MA,Documentaries,United States
2022-04-24,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,68040000,TV-MA,Thrillers,Colombia
2022-04-24,TV (Non-English),Elite,Elite: Season 5,29490000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Spain
2022-04-24,TV (Non-English),Yakamoz S-245,Yakamoz S-245: Season 1,22060000,TV-MA,Sci-Fi & Fantasy,Turkey
2022-04-24,TV (Non-English),Business Proposal,Business Proposal: Season 1,20380000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-24,TV (Non-English),Heirs to the Land,Heirs to the Land: Season 1,18840000,TV-PG,Action & Adventure,Spain
2022-04-24,TV (Non-English),Hold Tight,Hold Tight: Limited Series,17320000,TV-MA,Crime TV Shows,Poland
2022-04-24,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,11340000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-24,TV (Non-English),Happiness,N/A,10820000,PG-13,Drama,South Korea
2022-04-24,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10490000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
